x,y,z,team
-20.91,-1.61,-22.57,marines
-19.12,-1.61,-23.11,marines
-20.96,-1.64,-21.60,marines
-26.18,-0.10,2.03,aliens
-23.32,-0.63,2.56,aliens
-17.78,-1.61,-21.25,marines
-19.10,0.21,-20.68,marines
-19.25,-1.61,-23.35,marines
-19.75,-1.61,-22.93,marines
-37.82,1.39,-10.05,aliens
-19.87,-1.61,-22.90,marines
-19.60,-1.61,-23.17,marines
-20.00,-1.61,-22.83,marines
-20.21,-1.61,-22.52,marines
-20.27,-1.61,-22.71,marines
-17.48,-0.74,5.42,marines
-16.04,-0.78,-22.71,marines
-22.95,-0.75,2.65,marines
-24.88,-0.82,1.62,aliens
-16.50,-0.75,3.34,aliens
