coordinates,map,team
"-5.85 -3.85 -41.53",ns2_biodome,aliens
"-3.64 -3.85 -42.84",ns2_biodome,marines
"-6.00 -3.14 -45.99",ns2_biodome,marines
"-4.43 -3.85 -43.45",ns2_biodome,marines
"-6.17 -3.85 -44.24",ns2_biodome,marines
"-6.82 -3.85 -49.64",ns2_biodome,aliens
"-7.08 -3.85 -46.95",ns2_biodome,marines
"-20.78 0.07 -36.50",ns2_biodome,aliens
"-25.27 -0.89 -39.07",ns2_biodome,aliens
"-20.18 0.02 -44.91",ns2_biodome,aliens
"-5.53 -3.85 -43.92",ns2_biodome,marines
"-6.01 -3.92 -44.70",ns2_biodome,marines
"-5.60 -2.99 -43.81",ns2_biodome,marines
"-5.69 -3.85 -46.60",ns2_biodome,marines
"-7.60 -0.93 -59.29",ns2_biodome,aliens
"-5.50 -3.85 -44.78",ns2_biodome,marines
"-25.75 -0.87 -39.97",ns2_biodome,aliens
"-22.90 -1.61 -37.03",ns2_biodome,aliens
"-5.22 -3.85 -43.56",ns2_biodome,marines
"-3.94 -3.85 -42.77",ns2_biodome,marines
"-5.38 -3.85 -44.81",ns2_biodome,marines
"-4.04 -3.85 -42.94",ns2_biodome,marines
"-5.34 -3.85 -44.89",ns2_biodome,marines
"-5.66 -3.85 -44.50",ns2_biodome,marines
"-14.78 -3.44 -56.60",ns2_biodome,marines
"-22.01 -1.61 -51.44",ns2_biodome,aliens
"-21.89 -1.60 -50.00",ns2_biodome,aliens
"-4.35 -3.85 -43.28",ns2_biodome,marines
"-4.03 -3.85 -41.70",ns2_biodome,marines
"-4.96 -3.85 -42.07",ns2_biodome,marines
"-5.96 -3.85 -44.33",ns2_biodome,marines
"-15.42 -1.61 -49.06",ns2_biodome,marines
"-23.92 -1.61 -33.29",ns2_biodome,aliens
"-6.20 -3.85 -44.30",ns2_biodome,marines
"-5.18 -3.59 -50.28",ns2_biodome,aliens
"-5.53 -3.85 -44.75",ns2_biodome,marines
"-4.39 -3.85 -43.40",ns2_biodome,marines
"-5.71 -3.85 -43.93",ns2_biodome,marines
"-5.75 -3.85 -43.07",ns2_biodome,marines
"-31.48 -2.78 -46.07",ns2_biodome,marines
"-19.29 0.34 -25.49",ns2_biodome,aliens
"-21.82 -1.61 -49.85",ns2_biodome,aliens
"-6.17 -3.85 -43.60",ns2_biodome,marines
"-5.73 -3.85 -51.57",ns2_biodome,marines
"-16.46 -3.64 -59.58",ns2_biodome,marines
"-5.42 -3.85 -41.97",ns2_biodome,marines
"-5.14 -3.85 -39.95",ns2_biodome,marines
"-4.99 -3.85 -39.86",ns2_biodome,marines
"-20.03 -1.61 -49.52",ns2_biodome,marines
"-21.17 -1.61 -47.15",ns2_biodome,marines
"-30.54 -2.63 -49.85",ns2_biodome,aliens
"-24.48 -1.61 -33.60",ns2_biodome,aliens
"-32.68 -1.28 -46.59",ns2_biodome,aliens
"-5.32 -3.85 -40.28",ns2_biodome,marines
"-5.17 -3.85 -43.10",ns2_biodome,marines
"-4.81 -3.85 -40.18",ns2_biodome,marines
"-4.94 -3.85 -44.33",ns2_biodome,marines
"-7.37 -3.85 -47.64",ns2_biodome,marines
"-8.00 -3.42 -59.17",ns2_biodome,marines
"-21.38 -1.61 -25.95",ns2_biodome,aliens
"-18.74 0.04 -25.11",ns2_biodome,aliens
"-5.73 -3.85 -43.35",ns2_biodome,marines
"-6.14 -3.85 -43.85",ns2_biodome,marines
"-5.55 -3.59 -40.78",ns2_biodome,marines
"-4.86 -3.34 -36.42",ns2_biodome,marines
"-4.75 -3.34 -35.64",ns2_biodome,marines
"-5.60 -3.85 -41.06",ns2_biodome,marines
"-22.00 -1.61 -34.75",ns2_biodome,marines
"-17.82 -1.61 -23.43",ns2_biodome,aliens
"-20.32 -1.61 -24.95",ns2_biodome,aliens
"-18.18 -0.75 -11.91",ns2_biodome,marines
"-20.09 0.26 -12.48",ns2_biodome,marines
"-31.82 -0.75 -12.61",ns2_biodome,marines
"-27.35 0.73 -5.63",ns2_biodome,aliens
"-22.78 -0.75 -3.98",ns2_biodome,marines
"-33.89 1.10 -9.25",ns2_biodome,aliens
"-5.45 -3.85 -42.21",ns2_biodome,marines
"-5.63 -3.85 -42.10",ns2_biodome,marines
"-5.31 -3.85 -39.03",ns2_biodome,marines
"-4.80 -3.34 -35.60",ns2_biodome,marines
"-5.26 -3.85 -40.52",ns2_biodome,marines
"-22.09 -0.38 -31.00",ns2_biodome,aliens
"-5.64 -3.85 -42.66",ns2_biodome,marines
"-5.34 -3.85 -39.63",ns2_biodome,marines
"-4.51 -3.34 -35.13",ns2_biodome,marines
"-5.03 -3.85 -38.82",ns2_biodome,marines
"-6.76 -3.85 -38.34",ns2_biodome,marines
"-22.86 -0.25 -3.81",ns2_biodome,aliens
"-20.37 -0.75 -11.15",ns2_biodome,aliens
"-18.51 -0.75 5.34",ns2_biodome,aliens
"-19.67 -0.66 9.06",ns2_biodome,aliens
"-5.78 -3.85 -44.44",ns2_biodome,marines
"-6.56 -3.85 -43.91",ns2_biodome,marines
"-6.07 -3.73 -54.21",ns2_biodome,marines
